category,node_id,node_type,display_name,id_pattern,description,required_data_fields,input_types,output_type,credits_unit
app,dropbox,dropbox,Dropbox,dropbox-{n},Dropbox file operations,"credentials,action",file,file,request
app,notion,notion,Notion,notion-{n},Notion page/database operations,"credentials,action",text,text,request
app,airtable,airtable,Airtable,airtable-{n},Airtable database operations,"credentials,action",data,data,request
app,hubspot,hubspot,HubSpot,hubspot-{n},HubSpot CRM operations,"credentials,action",data,data,request
app,salesforce,salesforce,Salesforce,salesforce-{n},Salesforce CRM operations,"credentials,action",data,data,request
app,mailchimp,mailchimp,Mailchimp,mailchimp-{n},Mailchimp email marketing,"credentials,action",text,text,request
ai-tool,text-from-image,text-from-image,Text from Image,text-from-image-{n},Extract text from images,image,image,text,token
ai-tool,audio-transcription,audio-transcription,Audio Transcription,audio-transcription-{n},Convert audio to text (WAV/MP3),audio,audio,text,second
ai-tool,audio-translation,audio-translation,Audio Translation,audio-translation-{n},Translate audio to target language,audio,audio,text,second
ai-tool,image-generation-tool,image-generation-tool,Image Generation (DALL-E 3),image-generation-tool-{n},Generate images from text prompts,prompt,text,image,image
ai-tool,entity-recognition-text,entity-recognition-text,Entity Recognition (Text),entity-recognition-text-{n},Extract entities from text,text,text,text,token
ai-tool,entity-recognition-image,entity-recognition-image,Entity Recognition (Image),entity-recognition-image-{n},Extract entities from images,image,image,text,token
ai-tool,image-to-text,image-to-text,Image to Text Description,image-to-text-{n},Generate text description of images,image,image,text,token
ai-tool,text-summarization,text-summarization,Text Summarization,text-summarization-{n},Summarize long text,text,text,text,token
ai-tool,text-to-speech,text-to-speech,Text to Speech,text-to-speech-{n},Convert text to speech,text,text,audio,character
ai-tool,data-classification,data-classification,Data Classification,data-classification-{n},Classify data into categories,data,any,text,token
